Position,Name,ELO,Date,Age,Year,Age_Group,ELO_Change,Era,Is_World_No1,Appearances
15,Gelfand,2733,2009 Jan,40,2009,36+,-4,Transition,No,16
6,Gelfand,2761,2010 Jan,41,2010,36+,28,Carlsen Era,No,16
16,Gelfand,2733,2011 Jan,42,2011,36+,-28,Carlsen Era,No,16
16,Gelfand,2739,2012 Jan,43,2012,36+,6,Carlsen Era,No,16
16,Gelfand,2740,2013 Jan,44,2013,36+,1,Carlsen Era,No,16
8,Gelfand,2777,2014 Jan,45,2014,36+,37,Carlsen Era,No,16
14,Gelfand,2747,2015 Jan,46,2015,36+,-30,Carlsen Era,No,16
17,Georgiev,2677,2000 Jan,34,2000,31-35,0,Kasparov Era,No,1
19,Giri,2734,2014 Jan,19,2014,17-25,0,Carlsen Era,No,8
7,Giri,2784,2015 Jan,20,2015,17-25,50,Carlsen Era,No,8
3,Giri,2798,2016 Jan,21,2016,17-25,14,Carlsen Era,No,8
10,Giri,2773,2017 Jan,22,2017,17-25,-25,Carlsen Era,No,8
15,Giri,2752,2018 Jan,23,2018,17-25,-21,Carlsen Era,No,8
5,Giri,2783,2019 Jan,24,2019,17-25,31,Carlsen Era,No,8
9,Giri,2768,2020 Jan,25,2020,17-25,-15,Carlsen Era,No,8
11,Giri,2764,2021 Jan,26,2021,26-30,-4,Carlsen Era,No,8
10,Grischuk,2712,2003 Jan,19,2003,17-25,0,Kasparov Era,No,18
12,Grischuk,2719,2004 Jan,20,2004,17-25,7,Kasparov Era,No,18
12,Grischuk,2710,2005 Jan,21,2005,17-25,-9,Kasparov Era,No,18
12,Grischuk,2717,2006 Jan,22,2006,17-25,7,Kasparov Era,No,18
16,Grischuk,2717,2007 Jan,23,2007,17-25,0,Transition,No,18
14,Grischuk,2733,2009 Jan,25,2009,17-25,16,Transition,No,18
15,Grischuk,2736,2010 Jan,26,2010,26-30,3,Carlsen Era,No,18
7,Grischuk,2773,2011 Jan,27,2011,26-30,37,Carlsen Era,No,18
11,Grischuk,2761,2012 Jan,28,2012,26-30,-12,Carlsen Era,No,18
11,Grischuk,2764,2013 Jan,29,2013,26-30,3,Carlsen Era,No,18
7,Grischuk,2777,2014 Jan,30,2014,26-30,13,Carlsen Era,No,18
3,Grischuk,2810,2015 Jan,31,2015,31-35,33,Carlsen Era,No,18
15,Grischuk,2752,2016 Jan,32,2016,31-35,-58,Carlsen Era,No,18
20,Grischuk,2742,2017 Jan,33,2017,31-35,-10,Carlsen Era,No,18
12,Grischuk,2767,2018 Jan,34,2018,31-35,25,Carlsen Era,No,18
9,Grischuk,2771,2019 Jan,35,2019,31-35,4,Carlsen Era,No,18
4,Grischuk,2777,2020 Jan,36,2020,36+,6,Carlsen Era,No,18
7,Grischuk,2777,2021 Jan,37,2021,36+,0,Carlsen Era,No,18
12,Gurevich Mikhail,2694,2000 Jan,40,2000,36+,0,Kasparov Era,No,2
14,Gurevich Mikhail,2694,2001 Jan,41,2001,36+,0,Kasparov Era,No,2
14,Harikrishna,2755,2016 Jan,29,2016,26-30,0,Carlsen Era,No,3
12,Harikrishna,2766,2017 Jan,30,2017,26-30,11,Carlsen Era,No,3
20,Harikrishna,2745,2018 Jan,31,2018,31-35,-21,Carlsen Era,No,3
8,Ivanchuk,2709,2000 Jan,30,2000,26-30,0,Kasparov Era,No,16
9,Ivanchuk,2717,2001 Jan,31,2001,31-35,8,Kasparov Era,No,16
8,Ivanchuk,2717,2002 Jan,32,2002,31-35,0,Kasparov Era,No,16
15,Ivanchuk,2699,2003 Jan,33,2003,31-35,-18,Kasparov Era,No,16
13,Ivanchuk,2716,2004 Jan,34,2004,31-35,17,Kasparov Era,No,16
11,Ivanchuk,2711,2005 Jan,35,2005,31-35,-5,Kasparov Era,No,16
8,Ivanchuk,2729,2006 Jan,36,2006,36+,18,Kasparov Era,No,16
5,Ivanchuk,2750,2007 Jan,37,2007,36+,21,Transition,No,16
9,Ivanchuk,2751,2008 Jan,38,2008,36+,1,Transition,No,16
